created_at,text
Mon Oct 26 01:31:59 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:31:59 +0000 2020,"Dia 01/11 vai ser gigante!🇧🇷🇺🇸🇮🇱
#DoriaVaiCair"
Mon Oct 26 01:32:00 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:00 +0000 2020,@sirensbut amiga acho q vai voltar normal só depois da vacina
Mon Oct 26 01:32:02 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:02 +0000 2020,"RT @alwaysb4d: Os cara pagando milhoes em vacina e comprei uma por 3 conto, tudo otario https://t.co/KTsXGcixxb"
Mon Oct 26 01:32:03 +0000 2020,@barretowski foi naquele mesmo que testaram a vacina do butantã
Mon Oct 26 01:32:03 +0000 2020,eu gosto de tirar sangue e tomar vacina qual é o meu problema
Mon Oct 26 01:32:04 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:05 +0000 2020,@bernardokuster2 @LucianaACBarros Não existe vacinação obrigatória para adultos em nenhum@lugar do mundo. Para ser… https://t.co/Z4YvrWuebn
Mon Oct 26 01:32:05 +0000 2020,"RT @conexaopolitica: Efeito colateral da vacina chinesa pode ser pior que a Covid-19, diz neurocirurgião https://t.co/nymGXtuwS6"
Mon Oct 26 01:32:06 +0000 2020,@Collor Ng de máscara! Aglomeração! Que horror! Por acaso já chegou a vacina por aí?
Mon Oct 26 01:32:08 +0000 2020,"RT @Katheri10674819: @Rconstantino ""Entre os 9 mil voluntários brasileiros que receberam a Coronavac, vacina contra o coronavírus produzida…"
Mon Oct 26 01:32:09 +0000 2020,vacina e não se fala mais nisso
Mon Oct 26 01:32:11 +0000 2020,RT @alanaddsousa: quando a vacina sair
Mon Oct 26 01:32:12 +0000 2020,"RT @BR_DeTodos200Mi: @STF_oficial Que vacinação vocês querem saber do presidente???

Porque até agora não há nenhuma vacina testada e aprov…"
Mon Oct 26 01:32:12 +0000 2020,RT @lanaflowerz: Nunca comi uma vacina eficaz contra o corona vírus
Mon Oct 26 01:32:12 +0000 2020,"@jdoriajr Pare de repetir essa mentira.  Vc não falou tanto em ciência ? 
A ciência diz que não,  uma vacina feita… https://t.co/GtcCxx4IAc"
Mon Oct 26 01:32:16 +0000 2020,RT @cynaramenezes: quero só ver os minions que estão atacando a vacina obrigatória correndo para se vacinar quando os EUA exigirem a vacina…
Mon Oct 26 01:32:16 +0000 2020,"Apesar do fato de eu ter que tirar sangue na mão pq no meu braço não pega, vacina pq não tem explicação só é pior.… https://t.co/zxmLNjAVth"
Mon Oct 26 01:32:16 +0000 2020,RT @republica_ctba: Lula pede impeachment de Bolsonaro por se negar a comprar vacina chinesa https://t.co/wZZoZBMhXy
Mon Oct 26 01:32:16 +0000 2020,Se organizar direitinho a esquerda toma a vacina e o gado toma cloroquina.
Mon Oct 26 01:32:18 +0000 2020,"RT @Luis_R_Oficial: Se o vírus veio da China e funciona, por que a vacina não funcionaria? 

Dilma Rousseff

#DoriaVaiCair"
Mon Oct 26 01:32:18 +0000 2020,RT @jose_simao: Bolsonaro faz post com cão:”vacina obrigatória só no Faísca”. No caso dele morder o cachorro!
Mon Oct 26 01:32:19 +0000 2020,"RT @biellca: OS CARAS MUDARAM UM PRÉDIO DE LUGAR E VOCÊS ACHAM QUE NÃO VOU TOMAR A VACINA DELES?
MEU AMIGO, TOMA AQUI MEU BRAÇO"
Mon Oct 26 01:32:20 +0000 2020,Bolsonaro soltando fakenews? Alguém ainda fica surpreso?
Mon Oct 26 01:32:21 +0000 2020,"RT @Debora_D_Diniz: Arroz é comida de sobrevivência. 
Vacinação é esperança de futuro. 

No mesmo dia, Bolsonaro ironizou os dois. Mandou c…"
Mon Oct 26 01:32:21 +0000 2020,"RT @bernardokuster2: Se a vacinação contra o vírus chinês se tornar de alguma maneira obrigatória, a única solução é a resistência popular…"
Mon Oct 26 01:32:21 +0000 2020,"2019: Mundo protesta contra os seus Governos.
2020: Governos colocaram seus povos em casa.
E agora, no Brasil, o Su… https://t.co/lqLgXKA45X"
Mon Oct 26 01:32:23 +0000 2020,"RT @mysticamagya10: Bolsonarista twitando que não vai tomar vacina chinesa, teclando em seu xiaomi. Hipócrita que chama?"
Mon Oct 26 01:32:23 +0000 2020,RT @alex_nunes80: A PERGUNTA É: POR QUE A CHINA COMPROU VACINA SUECA PARA OS SEUS CIDADÃOS E VAI VENDER A SUA PARA SP COMPRADA PELO DITADÓR…
